category,L1,L2,L3,L4
A,5.1,3.5,1.4,0.2
A,4.9,3,1.4,0.2
A,4.7,3.2,1.3,0.2
A,4.6,3.1,1.5,0.2
A,5,3.6,1.4,0.2
A,5.4,3.9,1.7,0.4
A,4.6,3.4,1.4,0.3
B,5.5,2.3,4,1.3
B,6.5,2.8,4.6,1.5
B,5.7,2.8,4.5,1.3
B,6.3,3.3,4.7,1.6
B,4.9,2.4,3.3,1
B,5.8,2.7,3.9,1.2
B,6,2.7,5.1,1.6
B,5.4,3,4.5,1.5
B,6,3.4,4.5,1.6
B,6.7,3.1,4.7,1.5
B,6.3,2.3,4.4,1.3
C,4.9,2.5,4.5,1.7
C,7.3,2.9,6.3,1.8
C,6.7,2.5,5.8,1.8
C,7.2,3.6,6.1,2.5
C,6.5,3.2,5.1,2
C,6.9,3.1,5.1,2.3
C,5.8,2.7,5.1,1.9
C,6.8,3.2,5.9,2.3
C,6.7,3.3,5.7,2.5
C,6.7,3,5.2,2.3
C,6.3,2.5,5,1.9
C,6.5,3,5.2,2
C,6.2,3.4,5.4,2.3
C,5.9,3,5.1,1.8
